"Name:";"CT1 NAS HL LED T-SIG (STD ASSY-LED) RH #1 COLOR 2025-07-02"
"Number:";""
"Report:";"Hwang Ji Hoon"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"13.5030 V";"Date:";"2025-07-02 ¿ÀÀü 11:26:05"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED T-SIG (STD ASSY-LED) RH #1 COLOR 2025-07-02"

"Functions";"H[¡Æ]";"V[¡Æ]";"x";"y";"Tc";"N.O.K.";"Imin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"Imax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U  - 5L";"-5";"10";"0.5693";"0.4249";"1758";"OK";"409.3";"";"";"409.3";"";""
"10U  - 5R";"5";"10";"0.5686";"0.4253";"1765";"OK";"403.7";"";"";"403.7";"";""
"5U  - 20L";"-20";"5";"0.5687";"0.4254";"1765";"OK";"143.1";"";"";"143.1";"";""
"5U  - 10L";"-10";"5";"0.5690";"0.4251";"1760";"OK";"387.5";"";"";"387.5";"";""
"5U  - V";"0";"5";"0.5687";"0.4252";"1763";"OK";"510.9";"";"";"510.9";"";""
"5U  - 10R";"10";"5";"0.5684";"0.4255";"1767";"OK";"389.6";"";"";"389.6";"";""
"5U  - 20R";"20";"5";"0.5684";"0.4257";"1768";"OK";"227.1";"";"";"227.1";"";""
"H - 10L";"-10";"0";"0.5691";"0.4250";"1760";"OK";"395.4";"";"";"395.4";"";""
"H - 5L";"-5";"0";"0.5689";"0.4250";"1761";"OK";"502.5";"";"";"502.5";"";""
"H - V";"0";"0";"0.5687";"0.4251";"1763";"OK";"524.6";"";"";"524.6";"";""
"H - 5R";"5";"0";"0.5685";"0.4254";"1765";"OK";"468.4";"";"";"468.4";"";""
"H - 10R";"10";"0";"0.5684";"0.4255";"1767";"OK";"389.1";"";"";"389.1";"";""
"5D  - 20L";"-20";"-5";"0.5694";"0.4252";"1759";"OK";"115.1";"";"";"115.1";"";""
"5D  - 10L";"-10";"-5";"0.5695";"0.4245";"1755";"OK";"314.1";"";"";"314.1";"";""
"5D  - V";"0";"-5";"0.5690";"0.4249";"1759";"OK";"420.3";"";"";"420.3";"";""
"5D  - 10R";"10";"-5";"0.5686";"0.4254";"1765";"OK";"327.0";"";"";"327.0";"";""
"5D  - 20R";"20";"-5";"0.5684";"0.4259";"1769";"OK";"187.7";"";"";"187.7";"";""
"10D - 5L";"-5";"-10";"0.5699";"0.4243";"1751";"OK";"269.9";"";"";"269.9";"";""
"10D - 5R";"5";"-10";"0.5691";"0.4250";"1760";"OK";"266.1";"";"";"266.1";"";""
