"Name:";"CT1 NAS HL LED T-SIG (STD ASSY-LED) RH #2 2025-07-02"
"Number:";""
"Report:";"Hwang Ji Hoon"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"13.5030 V";"Date:";"2025-07-02 ¿ÀÈÄ 1:09:24"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED T-SIG (STD ASSY-LED) RH #2 2025-07-02"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"Imin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"Imax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"1min H-V";"-";"-";"507.221";"0";"0";"OK";"507.221";"0";"0";"507.221";"0";"0"
"10min H-V";"-";"-";"471.999";"0";"0";"OK";"471.999";"0";"0";"471.999";"0";"0"
"30min H-V";"-";"-";"457.589";"0";"0";"OK";"457.589";"0";"0";"457.589";"0";"0"
"10U  - 5L";"100";"-";"344.218";"-5";"10";"OK";"344.218";"-5";"10";"344.218";"-5";"10"
"10U  - 5R";"100";"-";"343.817";"5";"10";"OK";"343.817";"5";"10";"343.817";"5";"10"
"5U  - 20L";"62.5";"-";"124.579";"-20";"5";"OK";"124.579";"-20";"5";"124.579";"-20";"5"
"5U  - 10L";"187.5";"-";"335.712";"-10";"5";"OK";"335.712";"-10";"5";"335.712";"-10";"5"
"5U  - V";"437.5";"-";"435.275";"0";"5";"NG";"435.275";"0";"5";"435.275";"0";"5"
"5U  - 10R";"187.5";"-";"337.614";"10";"5";"OK";"337.614";"10";"5";"337.614";"10";"5"
"5U  - 20R";"62.5";"-";"198.325";"20";"5";"OK";"198.325";"20";"5";"198.325";"20";"5"
"H - 10L";"250";"-";"352.123";"-10";"0";"OK";"352.123";"-10";"0";"352.123";"-10";"0"
"H - 5L";"500";"-";"440.479";"-5";"0";"NG";"440.479";"-5";"0";"440.479";"-5";"0"
"H - V";"500";"-";"457.289";"0";"0";"NG";"457.289";"0";"0";"457.289";"0";"0"
"H - 5R";"500";"-";"409.859";"5";"0";"NG";"409.859";"5";"0";"409.859";"5";"0"
"H - 10R";"250";"-";"342.517";"10";"0";"OK";"342.517";"10";"0";"342.517";"10";"0"
"5D  - 20L";"62.5";"-";"106.567";"-20";"-5";"OK";"106.567";"-20";"-5";"106.567";"-20";"-5"
"5D  - 10L";"187.5";"-";"291.284";"-10";"-5";"OK";"291.284";"-10";"-5";"291.284";"-10";"-5"
"5D  - V";"437.5";"-";"379.340";"0";"-5";"NG";"379.340";"0";"-5";"379.340";"0";"-5"
"5D  - 10R";"187.5";"-";"293.786";"10";"-5";"OK";"293.786";"10";"-5";"293.786";"10";"-5"
"5D  - 20R";"62.5";"-";"168.407";"20";"-5";"OK";"168.407";"20";"-5";"168.407";"20";"-5"
"10D - 5L";"100";"-";"252.460";"-5";"-10";"OK";"252.460";"-5";"-10";"252.460";"-5";"-10"
"10D - 5R";"100";"-";"244.655";"5";"-10";"OK";"244.655";"5";"-10";"244.655";"5";"-10"
"Visibility";"0.3";"-";"(5.422) 462.204";"(-45) -1.7";"(-15) 1";"OK";"5.422";"-45";"-15";"462.204";"-1.7";"1"
