sep=;
"Name:";"CT1 NAS HL LED LOW (STD ASSY-LED)(2DOWN) RH#1 2025-08-04"
"Number:";""
"Report:";"Kim Jin Mo"
"Test no.:";""
"Lamp type:";"LED"
"Lamp no.:";"PRODUCT"
"Lamp flux:";"0 lm";"Operator:";"SL Corp.(GO-H1400 Lab 5) "
"Voltage:";"12.8050 V";"Date:";"2025-08-04 ¿ÀÈÄ 8:32:07"
"Current:";"0.00071 A";"File:";"CT1 NAS HL LED LOW (STD ASSY-LED)(2DOWN) RH#1 2025-08-04"

"Functions";"Min";"Max";"I [cd]";"H[¡Æ]";"V[¡Æ]";"Reaim I [cd]";"H[¡Æ]";"V[¡Æ]";"N.O.K.";"IMin [cd]";"Hmin [¡Æ]";"Vmin [¡Æ]";"IMax [cd]";"Hmax [¡Æ]";"Vmax [¡Æ]"
"10U 90U (120%)";"0";"100";"(0.2) 71.8";"(-89.1) 2.7";"10";"";"";"";"OK";"0.2";"-89.1";"10";"71.8";"2.7";"10"
"4U - 8R (120%)";"76.8";"-";"318.7";"8";"4";"";"";"";"OK";"318.7";"8";"4";"318.7";"8";"4"
"4U - 8L (120%)";"76.8";"-";"270.9";"-8";"4";"";"";"";"OK";"270.9";"-8";"4";"270.9";"-8";"4"
"2U-4L (120%)";"162";"-";"423.0";"-4";"2";"";"";"";"OK";"423.0";"-4";"2";"423.0";"-4";"2"
"1.5U - 1R to 3R (120%)";"240";"-";"(726.6) 814.5";"(3) 1";"1.5";"";"";"";"OK";"726.6";"3";"1.5";"814.5";"1";"1.5"
"1.5U - 1R to R (120%)";"-";"1120";"(56.2) 813.1";"(20) 1";"1.5";"";"";"";"OK";"56.2";"20";"1.5";"813.1";"1";"1.5"
"1U - 1.5L to L (120%)";"-";"560";"(33.9) 296.8";"(-20) -1.5";"1";"";"";"";"OK";"33.9";"-20";"1";"296.8";"-1.5";"1"
"0.5U - 1.5L to L (120%)";"-";"800";"(78.4) 333.1";"(-15) -5.75";"0.5";"";"";"";"OK";"78.4";"-15";"0.5";"333.1";"-5.75";"0.5"
"0.5U - 1R to 3R (120%)";"600";"-";"(906.9) 1071.4";"(3) 1";"0.5";"";"";"";"OK";"906.9";"3";"0.5";"1071.4";"1";"0.5"
"0.5U - 1R to 3R (120%)";"-";"2160";"(905.9) 1064.0";"(3) 1";"0.5";"";"";"";"OK";"905.9";"3";"0.5";"1064.0";"1";"0.5"
"H - 4L (120%)";"162";"-";"869.2";"-4";"0";"";"";"";"OK";"869.2";"-4";"0";"869.2";"-4";"0"
"H - 8L (120%)";"76.8";"-";"2384.7";"-8";"0";"";"";"";"OK";"2384.7";"-8";"0";"2384.7";"-8";"0"
"1.5D - 2R (120%)";"18000";"-";"32618.7";"2";"-1.5";"";"";"";"OK";"32618.7";"2";"-1.5";"32618.7";"2";"-1.5"
"2D - 15L (120%)";"1200";"-";"7071.4";"-15";"-2";"";"";"";"OK";"7071.4";"-15";"-2";"7071.4";"-15";"-2"
"2D - 15R (120%)";"1200";"-";"9249.9";"15";"-2";"";"";"";"OK";"9249.9";"15";"-2";"9249.9";"15";"-2"
"4D - 4R (120%)";"-";"10000";"11579.9";"4";"-4";"10773.3";"4";"-4.25";"NG";"11579.9";"4";"-4";"11579.9";"4";"-4"
"0.6D - 1.3R (120%)";"12000";"-";"29382.7";"1.3";"-0.6";"";"";"";"OK";"29382.7";"1.3";"-0.6";"29382.7";"1.3";"-0.6"
"0.86D - V (120%)";"5400";"-";"31842.1";"0";"-0.86";"";"";"";"OK";"31842.1";"0";"-0.86";"31842.1";"0";"-0.86"
"0.86D - 3.5L (120%)";"2160";"9600";"9777.7";"-3.5";"-0.86";"7125.1";"-3.5";"-0.61";"OK";"9777.7";"-3.5";"-0.86";"9777.7";"-3.5";"-0.86"
"2D - 9L (120%)";"1500";"-";"10853.0";"-9";"-2";"";"";"";"OK";"10853.0";"-9";"-2";"10853.0";"-9";"-2"
"2D - 9R (120%)";"1500";"-";"15124.5";"9";"-2";"";"";"";"OK";"15124.5";"9";"-2";"15124.5";"9";"-2"
"4D - 20L (120%)";"360";"-";"1648.9";"-20";"-4";"";"";"";"OK";"1648.9";"-20";"-4";"1648.9";"-20";"-4"
"4D - 20R (120%)";"360";"-";"5351.8";"20";"-4";"";"";"";"OK";"5351.8";"20";"-4";"5351.8";"20";"-4"
"4D - V (120%)";"-";"9600";"10404.9";"0";"-4";"9708.0";"0";"-4.25";"NG";"10404.9";"0";"-4";"10404.9";"0";"-4"
"MAX";"-";"-";"34241.7";"1.85";"-1.08";"";"";"";"OK";"34241.7";"1.85";"-1.08";"34241.7";"1.85";"-1.08"
